ProjectCode,ShortName,LongName,ParentSample,DateProduced,Feedstock,Researcher/Student,GroupLab,PyrolysisType,Temp(C),ProcessDetails,UnitType,Capacity(mmol/g),BET(m2/g),pH,Yield (%),PoreSize(nm),PoreVolume(cm3/g),%C,%H,%N,%O,Density ,Hydrophobicity ,Notes,Published?
ACBCM,KMS0001_SW620,Larchwood ,,2024-02-21,Larchwood,Dr. Irwin ,MacQuarrie,Slow,620.0,"8 deg/min, 620 deg, 180 min | nat-cooling, room",300g US ,,299.076,8.64,26.0,2.6,0.17001,,,,,,,,
ACBCM,KMS0002_CS515,Crabshell,,2022-02-01,Crabshell,Dr. Irwin ,MacQuarrie,Fast,515.0,"25 deg/min, 515 deg, 30 min | nat-cooling, room",100g US ,,24.149,9.68,55.0,5.5,0.111106,,,,,,,,
ACBCM,KMS0003_CS515,Crabshell,,2019-11-14,Crabshell,Dr. Irwin ,MacQuarrie,Slow,515.0,"5.5 deg/min, 515 deg, 150 min | nat-cooling, room",100g US ,,23.9245,9.52,50.0,5,0.134698,,,,,,,,
ACBCM,KMS0004_CS515,Crabshell,,2023-07-14,Crabshell,Dr. Irwin ,MacQuarrie,Slow,515.0,"5.5 deg/min, 515 deg, 150 min | nat-cooling, room",100g US,,24.3137,10.49,50.5,5.05,0.130189,,,,,,,,
ACBCM,KMS0005_CS515,Crabshel ,,2021-04-22,Crabshell,Dr. Irwin ,MacQuarrie,Slow,515.0,"5.5 deg/min, 515 deg, 150 min | nat-cooling, room",100g US,,41.7673,8.86,60.0,6,0.131645,,,,,,,,
ACBCM,KMS0006_SW300,Woody biochar not larchwood ,,2024-04-23,Hardwood,Dr. Irwin ,MacQuarrie,Slow,300.0,"10 deg/min, 300 deg, 60 min | nat-cooling, room",300g US,,9.4,8.04,25.2,2.52,0.009262,,,,,,,,
ACBCM,KMS0007_OA480,patchoili,,2020-03-11,Patchouli,Dr. Irwin ,MacQuarrie,Slow,480.0,"5 deg/min, 480 deg, 120 min | nat-cooling, room",100g US,,1.3633,11.32,35.0,3.5,0.00911,,,,,,,,
ACBCM,KMS0008_MB515,fine crab larch 1:1 ,,2024-06-27,Crabshell|Larchwood(1:1),Dr. Irwin ,MacQuarrie,Slow,515.0,"7.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,9.1202,11.2,38.5,3.85,0.028139,,,,,,,,
ACBCM,KMS0009_MB515,crab: larch wood 1:1,,2024-05-15,Crabshell|Larchwood(1:1),Dr. Irwin ,MacQuarrie,Slow,515.0,"5.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,14.8176,10.5,24.0,2.4,0.032956,,,,,,,,
ACBCM,KMS0010_CS515,crab (brandon),,,Crabshell,Brandon ,MacQuarrie,Slow,515.0,"7.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,43.5885,10.25,52.875,5.2875,0.245911,,,,,,,,
ACBCM,KMS0011_MB515,50:50 crab larchwood (brandon),,,Crabshell|Larchwood(1:1),Brandon ,MacQuarrie,Slow,515.0,"7.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,14.195,9.75,41.75,4.175,0.074216,,,,,,,,
ACBCM,KMS0012_MB515,80:20 crab larchwood (brandon),,,Crabshell|Larchwood(4:1),Brandon ,MacQuarrie,Slow,515.0,"7.5 deg/min, 515 deg, 90 min | nat-cooling, room",100g US,,31.796,10.28,51.0,5.1,0.142052,,,,,,,,
